Title,Ingredients,Instructions
['Besan Burfi Recipe'],"▢ 210 grams besan (2 cup gram flour)▢ 2 tablespoon semolina (fine suji, refer notes)▢ 120 grams ghee (½ cup + 1½ tbsps)▢ ¾ teaspoon cardamom powder▢ 200 grams organic sugar (1 cup)▢ ½ cup water▢ 12 almonds or pistachios (chopped or sliced)","▢ Ensure besan has cooled down to slightly hot or warm temperature but the ghee is not solidified. The syrup is slightly hot & not boiling hot. If you put your finger in the syrup, you should feel it is hot and not warm. Check the picture in the step by step photo instructions so you don't go wrong at this stage. The syrup has to be all liquid and still hot.▢ Add cardamom powder to the besan and then pour half of the sugar syrup. ▢ Quickly mix both of them and then pour the rest of the syrup. Mix well. You have to be quick at this stage as the mixture will begin to thicken fast.▢ Immediately pour to the greased tray. Level it with the spatula and sprinkle chopped nuts. Press down with the spatula so the nuts stick to the besan burfi. ▢ It will begin to set immediately as it cools down depending on the temperature in your home. Mine took about 10 mins to cool down and set. Cut the burfi when it is slightly warm.▢ Transfer the besan burfi to a air tight jar. Store at room temperature and use up within 2 weeks."
['Kaju Katli Recipe (Kaju Barfi)'],"▢ 1½ cups cashew nuts (kaju – 200 grams)▢ 90 ml water (6 tablespoons, refer notes)▢ ¾  cup sugar  – 150 grams (refined white sugar is best, refer notes)▢ 1 teaspoon rose water or 1/8 teaspoon cardamom powder or both▢ 2 teaspoons ghee for cooking▢ 1 teaspoon ghee for greasing","▢ To check if the mixture is ready. Turn off the stove and set the pan aside. ▢ Take ¼ teaspoon of this kaju katli mixture and cool down a bit. ▢ Roll it to a ball with greased fingers. You must get a ball that isn't sticky. ▢ Upon cooling completely this has to get the texture of the katli or fudge.▢ Next transfer the cooked kaju katli mixture immediately to a greased plate or parchment paper (butter paper). ▢ Let the temperature come down to warm or slightly hot.▢ While the mixture is still slightly hot or warm, grease your palms and knead it for 2 to 3 minutes to a smooth crack free dough.  (refer video or picture below)▢ Another method is to place the mixture on parchment paper and cover it. Then knead it well with the paper over the mixture. Covering the mixture with parchment paper protects your palm from extreme heat.▢ ( To fix ) If your kaju katli mixture tends to stick a lot, it means it is still underdone. So continue to cook the mixture for a little longer. If your mixture looks dry, sprinkle some boiled and cooled water and knead.▢ Place the ball on a greased aluminum foil or a butter paper and cover it. ▢ With the help of a rolling pin, roll it evenly to ¼ inch thickness. ▢ Cool completely and cut to desired shapes. Store kaju katli in an airtight box."
['Kheer Recipe'],optional▢ 1 tablespoon ghee optional to fry nuts & raisins▢ 1 pinch saffron or 1 tsp edible rose water or kewra water,"▢ Press the saute button.▢ Optional – add ghee to the inner pot of the Instant pot. Fry the cashews until light golden. Add raisins and fry for 30 seconds. Remove to a plate.▢ Pour water (to avoid burn) and milk. Stir in rice and sugar.▢ Secure the lid of the instant pot. Position the steam release handle to sealing. Press the porridge button.▢ Set the timer to 18 mins. When it is done press cancel & switch off. Wait for the pressure to release naturally.▢ When the float valve drops, open the lid and stir in cardamom powder & rose water.▢ Rice kheer will be runny at this stage. For a thicker consistency cook on saute mode for a few mins until thick. It will thicken further after cooling.▢ Transfer kheer to serving bowls & garnish with nuts & raisins. You can also chill the rice kheer and serve."
['Jalebi recipe'],Equipment needed▢ 1 sauce bottle or Zip lock bag or cloth bag,"▢ Ensure oil is hot and the flame set to medium high heat. ▢ Squeeze in the batter gently in circular motions starting from the center moving outside. ▢ You can also do it the other way.  You will get properly shaped ones after making a few.▢ While the jalebi is getting fried, check the syrup. It must be slightly hot to warm when the jalebi is dipped into it. If not heat up a bit.▢ The last 1 minute, turn the flame to low and fry the jalebi. This helps to make them extra crisp.▢ When the jalebi is done it turns crisp. Remove it with a skewer and add to the warm sugar syrup directly.▢ Allow to rest for 2 mins. Remove to a plate. Continue to make more jalebis.▢ Serve jalebi hot."
['Chicken Tikka Masala Recipe'],For Garnish▢ 3 tablespoons heavy cream (or any cream)▢ 3 tablespoons coriander leaves (fine chopped),"▢ Grill in Oven : While the gravy simmers, thread the chicken to the metal skewers or soaked bamboo skewers and place them in a prepared tray. Bake them in a preheated oven at 460 F or 240 C for 9 to 10 mins. Turn them to the other side with a tong and grill then for another 9 to 10 mins. To char the chicken, broil for 2 to 3 mins or until slightly charred. ▢ Or In a Skillet: Pour 1 tbsp oil to a skillet and heat it well. Place the chicken tikka one by one, spacing them apart. Cook on a medium high heat for 3 mins, turn them to the other side with a tong and cook for another 3 mins, until charred and   not essentially fully cooked. Remove to a plate and Cook in batches.▢ Or In the Air fryer: Thread on skewers and place them in the basket or in the tray. Air fry for 6 mins, at 400 F or 200 C. Turn them with tongs and air fry for another 6 mins. If they dry out, you may baste with marinade and continue for another 2 mins, until slightly charred.▢ When the tikka masala turns thick, add sugar and the cream (or cashew cream, check notes to make your own). Stir well and cook for a few minutes until thick, creamy and aromatic. (Check video for consistency)▢ Add the grilled chicken tikka and crushed kasuri methi. (Make sure your gravy has reached a thick gravy consistency/serving consistency, before adding chicken). Stir and cook for 2 to 3 mins until chicken tikka is soft and tender. Taste test and add more salt, garam masala and sugar if needed.▢ Turn off and garnish with cream and coriander leaves. Serve chicken tikka masala with Butter Naan, roti, paratha, Basmati rice or Jeera rice."
['Chicken Biryani Recipe'],"Other ingredients for chicken biryani▢ 2 cups basmati rice (aged rice only)▢ 2 tablespoon ghee or Oil▢ 1 large onion  sliced thinly▢ ¼ to ½ cup mint leaves chopped fine (about 15 leaves)▢ 1 green chili (slit or chopped)▢ ¼ cup plain yogurt (Indian curd)▢ ¼ to ½ teaspoon red chili powder  (optional, for heat)▢ 1 teaspoon garam masala (or biryani masala)▢ 3 cups water (3½ cups for pot) (refer notes, more if needed )▢ ¾ teaspoon salt (to stir in water)▢ 2 tablespoon fried onions (optional)▢ 1 pinch saffron (optional)(soaked in 2 tbsps hot milk)","▢ Mix everything well and layer chicken evenly at the bottom. (check video)▢ Spread drained rice in a layer over the chicken.▢ To a separate pot, pour water. If cooking in a pot use more water.▢ Add salt and mix. Taste the water. It must be slightly salty. Bring this to a rolling boil.▢ Pour 2 cups of this water across the sides of the cooker or pot. Gently pour the rest on top of the rice. (check video)▢ Level the rice if needed. Sprinkle the rest of the mint leaves. Optionally add fried onions & saffron soaked milk if using.▢ Pot method – If cooking in a pot, cover and cook on a medium flame until the rice in the chicken biryani is cooked completely but not mushy or undercooked. If the rice is still under cooked or hard & there is no water at the bottom, pour ¼ to ½ cup more boiling water depending on the kind of rice used and cook further. When done it has to be fully cooked, yet remain grainy but not mushy.▢ Cooker method – Set the flame to medium high. Cover & place the whistle. Cook until you hear 1 whistle. Move the cooker away from the burner to stop cooking further. ▢ Rest until the pressure drops naturally. Fluff up the chicken biryani with a fork. ▢ Serve from top to the bottom layer. Each serving gets biryani rice from top and chicken from the bottom layer. ▢ Enjoy chicken biryani with raita and sliced veggies, papad and shorba (biryani gravy)."
['Butter Chicken Recipe (Indian Chicken Makhani)'],"For sauce▢ 2 to 3 tablespoons butter  or ghee (divided)▢ 2 inch cinnamon piece▢ 2 to 4 green cardamoms▢ 2 to 4 cloves▢ 1½ cups (130 grams) onions sliced (optional, *updated)▢ 3 cups (600 grams, 24 oz)  fresh tomato puree (or 1 cup passata/canned tomato puree)▢ ¾ tablespoon ginger garlic paste▢ 1 to 2 green chilies  (deseed, slit or chop, optional)▢ 28 (42 grams) whole raw cashews  (soaked in hot water if required, read notes)▢ ½ cup water  to blend (more if required)▢ 1 to 2 teaspoons Kashmiri chili powder  (reduce for kids, adjust to taste)▢ 1 to 1½ teaspoons garam masala  (divided, adjust to taste)▢ 1 to 1½ teaspoon coriander powder  (optional, adjust to taste)▢ ½ teaspoon cumin powder  (optional, adjust to taste)▢ ½ to ¾ teaspoon salt  (adjust to taste)▢ 1 teaspoon sugar  (to balance the flavors)▢ ½ tablespoon Kasuri methi  (dried fenugreek leaves)▢ 1½ cups hot water to make gravy▢ ⅓ cup (80 to 100 ml) heavy cream  or whipping cream (divided)▢ 2 tablespoons coriander leaves (fine chopped to garnish)","▢ Add chicken to the butter chicken gravy. Pour more hot water (about ½ cup, not in the recipe) if the sauce is too thick. Cover and simmer for about 5 to 7 minutes till it becomes tender.▢ Stir in salt, sugar and kasuri methi. Taste test and optionally add more garam masala & another tablespoon butter for additional flavour (both are optional).▢ Turn off and stir in the heavy cream. Garnish Butter Chicken with chopped coriander leaves and some cream. Serve with Turmeric rice, steamed Basmati Rice, Butter naan or Cumin Rice."
['Chicken Curry Recipe'],Whole spices (omit if you don't have)▢ 1 bay leaf or 1 sprig curry leaves▢ 4 cloves▢ 2 inch cinnamon piece▢ 3 green cardamom,"▢ Pour hot water just enough (about ½ cup) to make a thick gravy. As you cook, chicken lets out plenty of moisture, depending on that add more water. Check the pictures in the post for consistency.▢ Cover and cook on a medium flame till the chicken is soft cooked and the curry/gravy turns thick. When the chicken is cooked completely it will fall off the bone easily. ▢ Taste the curry & add more salt if needed. You can also add another ½ tsp garam masala at this stage if you feel it is less in flavors.▢ Lastly garnish with coriander leaves, cover and off the heat. Serve chicken curry with butter naan or jeera rice."
['Tandoori Chicken Recipe'],Mix to make red chili oil (or melted butter)▢ 1 teaspoon Kashmiri red chili powder▢ 1 to 2 tablespoon oil (preferably mustard oil),"▢ Preheat the oven to 470 F – 240 C. Place a wire rack over a baking tray, lined with foil for easy cleanup. Spray oil over the wire rack.▢ Arrange the marinated chicken on the rack. Roast/bake the chicken for a total of 25 to 30 mins (depending on the size of chicken), basting with chili oil/ melted butter after the first 12 to 15 mins. (Check at 12 mins mark)▢ Turn the chicken to the other side after basting and roast for another 12 to 15 minutes, followed by 2 to 3 minutes of broiling to get some charred spots. The timings can vary depending on your oven and the size of chicken. So adjust accordingly.▢ When the chicken is cooked through, an instant-read thermometer inserted into the thickest part should read 165 to 170 F (75 C). Optionally you may smoke the chicken following the steps in my post.▢ Brush the drippings or melted butter all over the chicken to keep it moist. Garnish with chopped coriander leaves. ▢ Serve with this Cilantro Chutney or Pudina Mint Chutney alongside onion and lemon wedges. For a complete meal, serve it with Turmeric rice, kachumber and Cucumber raita."
['Chicken Korma Recipe'],"For chicken korma gravy▢ 1 to 2 tablespoon oil or ghee▢ 1 small  bay leaf (optional)▢ 4 cloves (optional)▢ 2 inch cinnamon (optional)▢ 1 cardamom (optional)▢ 1 to 2  green chilies slit or chopped (optional)▢ ½ cup hot water (more if needed)▢ ¼ teaspoon salt  (adjust to taste)▢ ½ to ¾ teaspoon garam masala▢ 1½ teaspoon coriander powder (ground coriander)▢ ¼ teaspoon Kashmiri red chili powder  (optional, for color)▢ 3 tablespoons coriander leaves (cilantro) chopped","▢ To the same pan, add oil and heat it.1 to 2 tablespoon oil or ghee▢ Optional – Saute whole spices – bay leaf, cinnamon stick, cloves and cardamom in oil for a min. ▢ Add green chilli and marinated chicken. Saute on a medium heat until the raw smell of ginger garlic paste goes away. This takes about 5 to 6 minutes.▢ Then add the onion nut puree. Pour hot water and mix well.½ cup hot water▢ Add salt, coriander powder and garam masala. If required you can also add more chili powder for color.▢ Mix well & raise the heat to bring to a boil. Reduce the heat. Cover and cook on a low flame until chicken is cooked to tender & you see traces of oil over the korma.▢ Cook further till the gravy reaches a desired consistency. If it is too thick then pour some hot water to bring it to consistency.▢ Garnish with coriander leaves.▢ Serve chicken korma with Jeera rice, plain Basmati Rice, Butter Naan, roti or paratha."
['Fish Curry Recipe'],For curry▢ 1 tbsp oil▢ 1 sprig  curry leaves or small bay leaf▢ 1 to 2 green chili  (chopped or slit)▢ 1 to 1 ½ tsp garam masala or curry powder as needed (refer notes)▢ 1¼ to 1½ cup water,"▢ Add 1 tbsp more oil to the same pot used earlier. Heat up on a low flame. ▢ When the oil turns slightly hot, add curry leaves & green chilies. ▢ When they splutter, add the ground onion tomato paste and garam masala. Taste test the paste and add more chilli powder at this stage if you want more heat or more deeper color.▢ Saute until the mixture smells good. ▢ Pour 1 ¼ to 1½ cup water. Mix and bring it to a boil. Cook until you see traces of oil on the surface and the gravy thickens a bit.▢ Gently slide the fish pieces and cook covered on a medium heat.▢ Carefully flip or turn the pieces to the other side after 3 to 4 mins.▢ Cook until the fish pieces bulge a bit. This is the indication they are cooked completely. Taste the curry and add more salt if needed.▢ Optionally garnish fish curry with coriander leaves if desired."
['Lamb Curry Recipe'],"▢ 2.2 lbs (1 Kg) bone-in lamb  (shoulder or leg cut or bone-less)▢ ¼  cup plain yogurt  (for substitutes read notes)▢ 2 to 3 teaspoons Kashmiri red chilli powder (adjust to taste, read notes)▢ ½ teaspoon turmeric▢ 2 to 3 teaspoons garam masala (or meat masala, adjust to taste, read notes)▢ ¾ to 1 teaspoon cumin powder▢ 1 tablespoon coriander powder▢ 2 teaspoon salt  (more to adjust)▢ 6 tablespoons oil  or ghee (divided, more if you prefer)▢ 1 bay leaf▢ 6 green cardamoms▢ 3 inch cinnamon piece▢ 2 black cardamom (optional)▢ 1 to 2 star anise (optional)▢ 2 cups onions fine chopped▢ 1½ cup (300 g) tomatoes (fresh tomatoes chopped or pureed or 1 cup bottled like passata)▢ 1 to 2 green chilli slit  ( deseeded, optional)▢ 2 tablespoon ginger garlic paste (or minced, divided equally)▢ 4 tablespoons mint leaves  (pudina, fine chopped)▢ 4 to 5 cup hot water  (cut down for boneless, adjust as needed)▢ ½ tablespoon kasuri methi  (dried fenugreeks leaves, optional)▢ ¼ cup coriander leaves  (fine chopped, optional)","▢ Meanwhile in another pan, heat the rest of the oil/ghee. Add the onions & green chilies. Saute on a medium heat for 6 to 7 mins.▢ Reduce the heat and stir fry for a few more minutes until deep golden but not burnt.▢ Add rest of the ginger garlic  & saute until the raw smell of ginger garlic goes away. This takes 1 to 2 minutes.▢ Turn off the heat & stir in the rest of the ground spices, immediately pour the tomato puree. Cook on a medium heat until the raw flavor of tomatoes is gone.▢ Transfer this to the lamb after 1 hour of cooking lamb. Cook covered on a low heat until the meat is fully cooked and fork tender, for another 50 mins or more. Pour more hot water if required as you cook & keep stirring often, every 5 to 7 mins.▢ Taste test and add more salt or garam masala & kasuri methi if needed. If you want more heat in your lamb curry, add some freshly crushed black pepper.▢ Garnish lamb curry with coriander leaves and serve with roti/ naan/ rice or with any artisan bread.▢ Lamb curry tastes best after resting for a few hours or even the next day. Reheat & adjust the salt when you are ready to serve."
['Rogan Josh Recipe (Lamb Rogan Josh)'],Spices (refer notes)▢ 1 bay leaf (skip if you don't have)▢ 3 to 4 cloves (or ¼ teaspoon ground cloves)▢ 1 inch cinnamon (or ¼ teaspoon ground cinnamon)▢ 3 green cardamoms (or ⅓ teaspoon ground cardamoms)▢ 1 black cardamom (skip if you don't have)▢ 2 teaspoon fennel seeds powder▢ 1 teaspoon dried ginger powder (or substitute 1 teaspoon ginger paste)▢ 1 teaspoon garam masala (optional),"▢ This step is optional. But it helps to thicken the rogan josh. Heat 1.5 tablespoons oil in a pan and saute shallots/onions on a medium heat until golden, about to caramelize but not burnt. Cool them and blend with 2 to 3 tablespoons of yogurt to a smooth paste. Keep this aside.▢ Heat oil or ghee in a heavy bottom pot and add bay leaf, green cardamoms, cinnamon, cloves and black cardamoms. (If you opt for the ground spices, add them later.)▢ When the spices begin to sizzle in oil, add mutton and sear it for 1 to 2 minute on a high heat.▢ Reduce the heat to medium and fry for another 4 to 5 minutes until the meat is slightly brown.▢ While you fry the meat, add yogurt to a mixing bowl. Also add ground spices – red chilli powder, fennel powder, dried ginger powder and salt. ▢ Whisk all of them well. If your yogurt is too thick (like Greek yogurt), add 3 to 4 tablespoons of water or stock and whisk it well until smooth.▢ Once the meat is light brown in color, add hing to the oil. Take the pot off the stove and slowly stir in the spice and yogurt mixture.▢ Mix well and place the pot back on the stove. Cook covered for 3 to 4 minutes on a medium heat. ▢ Pour 1 cup hot water or stock. Cook covered on a low heat until tender, adding more hot water if required.▢ Stir rogan josh every 7 to 8 minutes. When it is done, the mutton pieces should be soft, tender and fall off the bone. (Optional – During the last 20 minutes of cooking add the blended onion paste and mix well.)▢ The cook time depends on the kind of pot, source of heat and the intensity of heat. Do not forget to add more hot water (if required) as you cook.▢ The gravy in Rogan josh is neither too runny nor too thick but is slightly thick as the some of the bone marrow seeps into the liquids. This results can be achieved only by slow cooking the dish.▢ Taste test and add more salt or garam masala if required. Turn off the heat and rest for few hours before serving. This helps to develop the flavors.▢ Serve rogan josh with Tandoori Roti, Butter Naan, Basmati Rice, Paratha or Roti. It is best served with plain rice."
['Rogan Josh Recipe (Lamb Rogan Josh)'],Spices (refer notes)▢ 1 bay leaf (skip if you don't have)▢ 3 to 4 cloves (or ¼ teaspoon ground cloves)▢ 1 inch cinnamon (or ¼ teaspoon ground cinnamon)▢ 3 green cardamoms (or ⅓ teaspoon ground cardamoms)▢ 1 black cardamom (skip if you don't have)▢ 2 teaspoon fennel seeds powder▢ 1 teaspoon dried ginger powder (or substitute 1 teaspoon ginger paste)▢ 1 teaspoon garam masala (optional),"▢ This step is optional. But it helps to thicken the rogan josh. Heat 1.5 tablespoons oil in a pan and saute shallots/onions on a medium heat until golden, about to caramelize but not burnt. Cool them and blend with 2 to 3 tablespoons of yogurt to a smooth paste. Keep this aside.▢ Heat oil or ghee in a heavy bottom pot and add bay leaf, green cardamoms, cinnamon, cloves and black cardamoms. (If you opt for the ground spices, add them later.)▢ When the spices begin to sizzle in oil, add mutton and sear it for 1 to 2 minute on a high heat.▢ Reduce the heat to medium and fry for another 4 to 5 minutes until the meat is slightly brown.▢ While you fry the meat, add yogurt to a mixing bowl. Also add ground spices – red chilli powder, fennel powder, dried ginger powder and salt. ▢ Whisk all of them well. If your yogurt is too thick (like Greek yogurt), add 3 to 4 tablespoons of water or stock and whisk it well until smooth.▢ Once the meat is light brown in color, add hing to the oil. Take the pot off the stove and slowly stir in the spice and yogurt mixture.▢ Mix well and place the pot back on the stove. Cook covered for 3 to 4 minutes on a medium heat. ▢ Pour 1 cup hot water or stock. Cook covered on a low heat until tender, adding more hot water if required.▢ Stir rogan josh every 7 to 8 minutes. When it is done, the mutton pieces should be soft, tender and fall off the bone. (Optional – During the last 20 minutes of cooking add the blended onion paste and mix well.)▢ The cook time depends on the kind of pot, source of heat and the intensity of heat. Do not forget to add more hot water (if required) as you cook.▢ The gravy in Rogan josh is neither too runny nor too thick but is slightly thick as the some of the bone marrow seeps into the liquids. This results can be achieved only by slow cooking the dish.▢ Taste test and add more salt or garam masala if required. Turn off the heat and rest for few hours before serving. This helps to develop the flavors.▢ Serve rogan josh with Tandoori Roti, Butter Naan, Basmati Rice, Paratha or Roti. It is best served with plain rice."
['Mutton Curry | Mutton Masala Gravy'],Hot Water▢ ¾  cup hot water to cook in stovetop pressure cooker▢ 2 to 2½  cups hot water to cook in a regular pot/Dutch oven,"▢ On a low to medium flame, gently heat oil in a pan or pressure cooker. Add the whole spices – cinnamon, cardamoms and bay leaf (optional), followed by onions & green chilies.▢ Saute until onions turn golden. Lower the flame to very low as much as possible.  Then transfer the marinated mutton and saute for 5 to 7 mins.▢ Stir in the meat masala & curry leaves (optional), followed by pureed tomatoes.▢ Increase the heat to medium and saute for another 5 to 7 mins, until the raw flavor of tomatoes has reduced. Pour hot water & mix well.▢ To cook in a regular pot: Bring it to a gentle boil and cook covered on a medium heat for 1 hour 30 minutes. Stir well every 12 to 15 minutes and pour more hot water in batches as needed.▢ Stovetop Pressure Cooker: Pressure cook on a medium heat for 4 to 5 whistles, depending on the kind or cooker, meat and size of the mutton pieces. ▢ When the pressure drops, open the lid and mix well. If the curry is runny, cook/saute for a few more minutes to evaporate some of the moisture. Your mutton is cooked through when it is tender, flakes easily with a fork and falls off the bone easily. ▢ Taste the curry and add more salt if needed. If you feel it is low on flavor, you may sprinkle little garam masala. Garnish with fine chopped coriander leaves.▢ Serve mutton curry hot with rice, tandoori roti, naan or plain paratha."
['Mutton Curry | Mutton Masala Gravy'],Hot Water▢ ¾  cup hot water to cook in stovetop pressure cooker▢ 2 to 2½  cups hot water to cook in a regular pot/Dutch oven,"▢ On a low to medium flame, gently heat oil in a pan or pressure cooker. Add the whole spices – cinnamon, cardamoms and bay leaf (optional), followed by onions & green chilies.▢ Saute until onions turn golden. Lower the flame to very low as much as possible.  Then transfer the marinated mutton and saute for 5 to 7 mins.▢ Stir in the meat masala & curry leaves (optional), followed by pureed tomatoes.▢ Increase the heat to medium and saute for another 5 to 7 mins, until the raw flavor of tomatoes has reduced. Pour hot water & mix well.▢ To cook in a regular pot: Bring it to a gentle boil and cook covered on a medium heat for 1 hour 30 minutes. Stir well every 12 to 15 minutes and pour more hot water in batches as needed.▢ Stovetop Pressure Cooker: Pressure cook on a medium heat for 4 to 5 whistles, depending on the kind or cooker, meat and size of the mutton pieces. ▢ When the pressure drops, open the lid and mix well. If the curry is runny, cook/saute for a few more minutes to evaporate some of the moisture. Your mutton is cooked through when it is tender, flakes easily with a fork and falls off the bone easily. ▢ Taste the curry and add more salt if needed. If you feel it is low on flavor, you may sprinkle little garam masala. Garnish with fine chopped coriander leaves.▢ Serve mutton curry hot with rice, tandoori roti, naan or plain paratha."
